id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
103	yeshurun s. (2017)	"<table><tr><td>Authors:</td><td>yeshurun s.; rogers j.; short a.k.; renoir t.; pang t.y.; hannan a.j.</td></tr><tr><td>Title:</td><td>elevated paternal glucocorticoid exposure modifies memory retention in female offspring</td></tr><tr><td>Source:</td><td>psychoneuroendocrinology, 83, 9-18</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1016/j.psyneuen.2017.05.014	-0.0331	-0.4445	1	107	31	9	1.2857	2017	9	1.2857
104	hrubec t.c. (2017)	"<table><tr><td>Authors:</td><td>hrubec t.c.; melin v.e.; shea c.s.; ferguson e.e.; garofola c.; repine c.m.; chapman t.w.; patel h.r.; razvi r.m.; sugrue j.e.; potineni h.; magnin-bissel g.; hunt p.a.</td></tr><tr><td>Title:</td><td>ambient and dosed exposure to quaternary ammonium disinfectants causes neural tube defects in rodents</td></tr><tr><td>Source:</td><td>birth defects research, 109(14), 1166-1178</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1002/bdr2.1064	0.2247	0.2107	2	96	8	3	0.4286	2017	3	0.4286
105	fischer d.k. (2017)	"<table><tr><td>Authors:</td><td>fischer d.k.; rice r.c.; martinez rivera a.; donohoe m.; rajadhyaksha a.m.</td></tr><tr><td>Title:</td><td>altered reward sensitivity in female offspring of cocaine-exposed fathers</td></tr><tr><td>Source:</td><td>behavioural brain research, 332, 23-31</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1016/j.bbr.2017.05.054	-0.1571	0.4547	1	54	11	8	1.1429	2017	8	1.1429
106	shi x. (2017)	"<table><tr><td>Authors:</td><td>shi x.; li x.; hou y.; cao x.; zhang y.; wang h.; wang h.; peng c.; li j.; li q.; wu c.; xiao x.</td></tr><tr><td>Title:</td><td>paternal hyperglycemia in rats exacerbates the development of obesity in offspring</td></tr><tr><td>Source:</td><td>journal of endocrinology, 234(2), 175-186</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1530/joe-17-0082	-0.3982	-0.6491	1	132	17	4	0.5714	2017	4	0.5714
107	borges c.d.s. (2017)	"<table><tr><td>Authors:</td><td>borges c.d.s.; pacheco t.l.; da silva k.p.; fernandes f.h.; gregory m.; pupo a.s.; salvadori d.m.f.; cyr d.g.; kempinas w.d.g.</td></tr><tr><td>Title:</td><td>betamethasone causes intergenerational reproductive impairment in male rats</td></tr><tr><td>Source:</td><td>reproductive toxicology, 71, 108-117</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1016/j.reprotox.2017.04.012	0.3916	-0.5718	2	23	11	3	0.4286	2017	3	0.4286
108	zajitschek s. (2017)	"<table><tr><td>Authors:</td><td>zajitschek s.; herbert-read j.e.; abbasi n.m.; zajitschek f.; immler s.</td></tr><tr><td>Title:</td><td>paternal personality and social status influence offspring activity in zebrafish</td></tr><tr><td>Source:</td><td>bmc evolutionary biology, 17(1)</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1186/s12862-017-1005-0	-0.5191	0.1801	3	144	19	6	0.8571	2017	6	0.8571
109	ly l. (2017)	"<table><tr><td>Authors:</td><td>ly l.; chan d.; aarabi m.; landry m.; behan n.a.; macfarlane a.j.; trasler j.</td></tr><tr><td>Title:</td><td>intergenerational impact of paternal lifetime exposures to both folic acid deficiency and supplementation on reproductive outcomes and imprinted gene methylation</td></tr><tr><td>Source:</td><td>molecular human reproduction, 23(7), 461-477</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1093/molehr/gax029	0.1505	-0.0265	1	53	17	11	1.5714	2017	11	1.5714
110	horan t.s. (2017)	"<table><tr><td>Authors:</td><td>horan t.s.; marre a.; hassold t.; lawson c.; hunt p.a.</td></tr><tr><td>Title:</td><td>germline and reproductive tract effects intensify in male mice with successive generations of estrogenic exposure</td></tr><tr><td>Source:</td><td>plos genetics, 13(7)</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1371/journal.pgen.1006885	0.3508	-0.2393	2	90	27	5	0.7143	2017	5	0.7143
111	vaughn a.r. (2017)	"<table><tr><td>Authors:</td><td>vaughn a.r.; sivamani r.k.; lio p.a.; shi v.y.</td></tr><tr><td>Title:</td><td>paternal vs. maternal factors in childhood atopic dermatitis</td></tr><tr><td>Source:</td><td>dermatitis, 28(4), 241-245</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1097/der.0000000000000305	1.1875	-1.1729	1	1	1	2	0.2857	2017	2	0.2857
112	park h.-s. (2017)	"<table><tr><td>Authors:</td><td>park h.-s.; kim t.-w.</td></tr><tr><td>Title:</td><td>paternal physical exercise improves spatial learning ability by enhancing hippocampal neuroplasticity in male pups born from obese maternal rats</td></tr><tr><td>Source:</td><td>journal of exercise rehabilitation, 13(3), 266-272</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.12965/jer.1734998.499	-0.4925	-0.4239	1	69	10	5	0.7143	2017	5	0.7143
113	le cornet c. (2017)	"<table><tr><td>Authors:</td><td>le cornet c.; fervers b.; pukkala e.; tynes t.; feychting m.; hansen j.; togawa k.; nordby k.-c.; dalton s.o.; uuksulainen s.; wiebert p.; woldbæk t.; skakkebæk n.e.; olsson a.; schüz j.</td></tr><tr><td>Title:</td><td>parental occupational exposure to organic solvents and testicular germ cell tumors in their offspring: nord-test study</td></tr><tr><td>Source:</td><td>environmental health perspectives, 125(6)</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1289/ehp864	0.954	-0.3188	2	9	5	3	0.4286	2017	3	0.4286
114	rahman s.a. (2017)	"<table><tr><td>Authors:</td><td>rahman s.a.; samat n.h.a.; ahmad n.a.; abdullah a.r.; zahri s.m.; kamarzaman s.</td></tr><tr><td>Title:</td><td>investigating the potential of nigella sativa and thymoquinone in salvaging the embryo from effects of toxic paternal exposure to cyclophosphamide</td></tr><tr><td>Source:</td><td>international medical journal malaysia, 16(1), 99-106</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"		0.8267	0.5481	2	8	12	1	0.1429	2017	1	0.1429
115	watkins a.j. (2017)	"<table><tr><td>Authors:</td><td>watkins a.j.; sirovica s.; stokes b.; isaacs m.; addison o.; martin r.a.</td></tr><tr><td>Title:</td><td>paternal low protein diet programs preimplantation embryo gene expression, fetal growth and skeletal development in mice</td></tr><tr><td>Source:</td><td>biochimica et biophysica acta - molecular basis of disease, 1863(6), 1371-1381</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1016/j.bbadis.2017.02.009	0.0539	-0.2396	1	143	29	10	1.4286	2017	10	1.4286
116	pauwels s. (2017)	"<table><tr><td>Authors:</td><td>pauwels s.; truijen i.; ghosh m.; duca r.c.; langie s.a.s.; bekaert b.; freson k.; huybrechts i.; koppen g.; devlieger r.; godderis l.</td></tr><tr><td>Title:</td><td>the effect of paternal methyl-group donor intake on offspring dna methylation and birth weight</td></tr><tr><td>Source:</td><td>journal of developmental origins of health and disease, 8(3), 311-321</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1017/s2040174417000046	-0.281	-0.542	1	119	22	3	0.4286	2017	3	0.4286
117	niknazar s. (2017)	"<table><tr><td>Authors:</td><td>niknazar s.; nahavandi a.; peyvandi a.a.; peyvandi h.; roozbahany n.a.; abbaszadeh h.-a.</td></tr><tr><td>Title:</td><td>hippocampal nr3c1 dna methylation can mediate part of preconception paternal stress effects in rat offspring</td></tr><tr><td>Source:</td><td>behavioural brain research, 324, 71-76</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1016/j.bbr.2017.02.014	-0.0782	0.1086	1	172	20	5	0.7143	2017	5	0.7143
118	rompala g.r. (2017)	"<table><tr><td>Authors:</td><td>rompala g.r.; finegersh a.; slater m.; homanics g.e.</td></tr><tr><td>Title:</td><td>paternal preconception alcohol exposure imparts intergenerational alcohol-related behaviors to male offspring on a pure c57bl/6j background</td></tr><tr><td>Source:</td><td>alcohol, 60, 169-177</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1016/j.alcohol.2016.11.001	0.1607	-0.1605	1	143	31	15	2.1429	2017	15	2.1429
119	hine c. (2017)	"<table><tr><td>Authors:</td><td>hine c.</td></tr><tr><td>Title:</td><td>a paternal diet for offspring success?</td></tr><tr><td>Source:</td><td>science translational medicine, 9(386)</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1126/scitranslmed.aan2780	-1.0647	-0.6323	1	3	1	0	0	2017	0	0
120	hur s.s.j. (2017)	"<table><tr><td>Authors:</td><td>hur s.s.j.; cropley j.e.; suter c.m.</td></tr><tr><td>Title:</td><td>paternal epigenetic programming: evolving metabolic disease risk</td></tr><tr><td>Source:</td><td>journal of molecular endocrinology, 58(3), r159-r168</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1530/jme-16-0236	-0.1662	-0.0309	1	198	63	19	2.7143	2017	19	2.7143
121	evans j.p. (2017)	"<table><tr><td>Authors:</td><td>evans j.p.; lymbery r.a.; wiid k.s.; rahman m.m.; gasparini c.</td></tr><tr><td>Title:</td><td>sperm as moderators of environmentally induced paternal effects in a livebearing fish</td></tr><tr><td>Source:</td><td>biology letters, 13(4)</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1098/rsbl.2017.0087	-0.6116	-0.0046	3	120	15	9	1.2857	2017	9	1.2857
122	pang t.y. (2017)	"<table><tr><td>Authors:</td><td>pang t.y.; short a.k.; bredy t.w.; hannan a.j.</td></tr><tr><td>Title:</td><td>transgenerational paternal transmission of acquired traits: stress-induced modification of the sperm regulatory transcriptome and offspring phenotypes</td></tr><tr><td>Source:</td><td>current opinion in behavioral sciences, 14, 140-147</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1016/j.cobeha.2017.02.007	-0.3217	-0.5521	1	178	40	11	1.5714	2017	11	1.5714
123	mitchell m. (2017)	"<table><tr><td>Authors:</td><td>mitchell m.; strick r.; strissel p.l.; dittrich r.; mcpherson n.o.; lane m.; pliushch g.; potabattula r.; haaf t.; el hajj n.</td></tr><tr><td>Title:</td><td>gene expression and epigenetic aberrations in f1-placentas fathered by obese males</td></tr><tr><td>Source:</td><td>molecular reproduction and development, 84(4), 316-328</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1002/mrd.22784	-0.0225	-0.0395	1	142	33.875	7	1	2017	7	1
124	cissé y.m. (2017a)	"<table><tr><td>Authors:</td><td>cissé y.m.; russart k.l.g.; nelson r.j.</td></tr><tr><td>Title:</td><td>parental exposure to dim light at night prior to mating alters offspring adaptive immunity</td></tr><tr><td>Source:</td><td>scientific reports, 7</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1038/srep45497	-0.7081	-0.3854	1	10	11	5	0.7143	2017	5	0.7143
125	becker c. (2017)	"<table><tr><td>Authors:</td><td>becker c.</td></tr><tr><td>Title:</td><td>like father, like son: exposing male mice to nicotine or cocaine enables their male offspring to cope with high doses of either, which suggests that such paternal effects are generic, rather than being a response to a specific type of stress</td></tr><tr><td>Source:</td><td>elife, 6</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.7554/elife.25669	-0.5734	-0.3644	3	50	5	2	0.2857	2017	2	0.2857
126	vallaster m.p. (2017)	"<table><tr><td>Authors:</td><td>vallaster m.p.; kukreja s.; bing x.y.; ngolab j.; zhao-shea r.; gardner p.d.; tapper a.r.; rando o.j.</td></tr><tr><td>Title:</td><td>paternal nicotine exposure alters hepatic xenobiotic metabolism in offspring</td></tr><tr><td>Source:</td><td>elife, 6</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.7554/elife.24771	-0.2253	-0.123	1	142	15	9	1.2857	2017	9	1.2857
127	beemelmanns a. (2017)	"<table><tr><td>Authors:</td><td>beemelmanns a.; roth o.</td></tr><tr><td>Title:</td><td>grandparental immune priming in the pipefish syngnathus typhle</td></tr><tr><td>Source:</td><td>bmc evolutionary biology, 17(1), 1-15</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1186/s12862-017-0885-3	-0.523	0.3313	3	85	48.6	7	1	2017	7	1
128	zajitschek f. (2017)	"<table><tr><td>Authors:</td><td>zajitschek f.; zajitschek s.; manier m.</td></tr><tr><td>Title:</td><td>high-protein paternal diet confers an advantage to sons in sperm competition</td></tr><tr><td>Source:</td><td>biology letters, 13(2)</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1098/rsbl.2016.0914	-0.6335	-0.1936	3	153	15	5	0.7143	2017	5	0.7143
129	valcarce d.g. (2017)	"<table><tr><td>Authors:</td><td>valcarce d.g.; vuelta e.; robles v.; herráez m.p.</td></tr><tr><td>Title:</td><td>paternal exposure to environmental 17-alpha-ethinylestradiol concentrations modifies testicular transcription, affecting the sperm transcript content and the offspring performance in zebrafish</td></tr><tr><td>Source:</td><td>aquatic toxicology, 193, 18-29</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1016/j.aquatox.2017.09.025	-0.1428	-0.1903	1	50	21	6	0.8571	2017	6	0.8571
130	lucas e.s. (2017)	"<table><tr><td>Authors:</td><td>lucas e.s.; watkins a.j.</td></tr><tr><td>Title:</td><td>the long-term effects of the periconceptional period on embryo epigenetic profile and phenotype; the paternal role and his contribution, and how males can affect offspring’s phenotype/epigenetic profile</td></tr><tr><td>Source:</td><td>advances in experimental medicine and biology, 1014, 137-154</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1007/978-3-319-62414-3_8	0.1258	-0.1281	1	214	80	3	0.4286	2017	3	0.4286
131	messerlian c. (2017)	"<table><tr><td>Authors:</td><td>messerlian c.; bellinger d.; mínguez-alarcón l.; romano m.e.; ford j.b.; williams p.l.; calafat a.m.; hauser r.; braun j.m.</td></tr><tr><td>Title:</td><td>paternal and maternal preconception urinary phthalate metabolite concentrations and child behavior</td></tr><tr><td>Source:</td><td>environmental research, 158, 720-728</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1016/j.envres.2017.07.032	0.1968	-0.1322	1	147	22	5	0.7143	2017	5	0.7143
132	short a.k. (2017)	"<table><tr><td>Authors:</td><td>short a.k.; yeshurun s.; powell r.; perreau v.m.; fox a.; kim j.h.; pang t.y.; hannan a.j.</td></tr><tr><td>Title:</td><td>exercise alters mouse sperm small noncoding rnas and induces a transgenerational modification of male offspring conditioned fear and anxiety</td></tr><tr><td>Source:</td><td>translational psychiatry, 7(5)</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1038/tp.2017.82	-0.5962	-0.3458	1	144	38	31	4.4286	2017	31	4.4286
133	luo g. (2017)	"<table><tr><td>Authors:</td><td>luo g.; wei r.; wang j.; luo g.; wei r.</td></tr><tr><td>Title:</td><td>paternal bisphenol a diet changes prefrontal cortex proteome and provokes behavioral dysfunction in male offspring</td></tr><tr><td>Source:</td><td>chemosphere, 184, 720-729</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1016/j.chemosphere.2017.06.050	-0.4382	-0.5052	1	154	22	4	0.5714	2017	4	0.5714
134	janecka m. (2017)	"<table><tr><td>Authors:</td><td>janecka m.; mill j.; basson m.a.; goriely a.; spiers h.; reichenberg a.; schalkwyk l.; fernandes c.</td></tr><tr><td>Title:</td><td>advanced paternal age effects in neurodevelopmental disorders-review of potential underlying mechanisms</td></tr><tr><td>Source:</td><td>translational psychiatry, 7(1)</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1038/tp.2016.294	0.1311	0.1808	1	94	75.6667	20	2.8571	2017	20	2.8571
135	oliveira p.f. (2017)	"<table><tr><td>Authors:</td><td>oliveira p.f.; sousa m.; silva b.m.; monteiro m.p.; alves m.g.</td></tr><tr><td>Title:</td><td>obesity, energy balance and spermatogenesis</td></tr><tr><td>Source:</td><td>reproduction, 153(6), r173-r185</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1530/rep-17-0018	-0.1239	-0.5745	1	112	33	14	2	2017	14	2
136	karalexi m.a. (2017)	"<table><tr><td>Authors:</td><td>karalexi m.a.; dessypris n.; thomopoulos t.p.; ntouvelis e.; kantzanou m.; diamantaras a.-a.; moschovi m.; baka m.; hatzipantelis e.; kourti m.; polychronopoulou s.; stiakaki e.; mora a.-m.; wunsch-filho v.; infante-rivard c.; loutradis d.; petridou e.t.</td></tr><tr><td>Title:</td><td>parental alcohol consumption and risk of leukemia in the offspring: a systematic review and meta-analysis</td></tr><tr><td>Source:</td><td>european journal of cancer prevention, 26(5), 433-441</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1097/cej.0000000000000350	0.539	-0.4201	1	30	8	8	1.1429	2017	8	1.1429
137	gerlinskaya l.a. (2017)	"<table><tr><td>Authors:</td><td>gerlinskaya l.a.; maslennikova s.o.; anisimova m.v.; feofanova n.a.; zavjalov e.l.; kontsevaya g.v.; moshkin y.m.; moshkin m.p.</td></tr><tr><td>Title:</td><td>modulation of embryonic development due to mating with immunised males</td></tr><tr><td>Source:</td><td>reproduction, fertility and development, 29(3), 565-574</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1071/rd15173	0.1119	0.1839	1	83	9	3	0.4286	2017	3	0.4286
138	lecomte v. (2017)	"<table><tr><td>Authors:</td><td>lecomte v.; maloney c.a.; wang k.w.; morris m.j.</td></tr><tr><td>Title:</td><td>effects of paternal obesity on growth and adiposity of male rat offspring</td></tr><tr><td>Source:</td><td>american journal of physiology - endocrinology and metabolism, 312(2), e117-e125</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1152/ajpendo.00262.2016	-0.3491	-0.6475	1	116	16	8	1.1429	2017	8	1.1429
139	li j. (2017)	"<table><tr><td>Authors:</td><td>li j.; liu s.; li s.; feng r.; na l.; chu x.; wu x.; niu y.; sun z.; han t.; deng h.; meng x.; xu h.; zhang z.; qu q.; zhang q.; li y.; sun c.</td></tr><tr><td>Title:</td><td>prenatal exposure to famine and the development of hyperglycemia and type 2 diabetes in adulthood across consecutive generations: a population-based cohort study of families in suihua, china</td></tr><tr><td>Source:</td><td>american journal of clinical nutrition, 105(1), 221-227</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.3945/ajcn.116.138792	-0.438	-0.3793	1	164	30	24	3.4286	2017	24	3.4286
140	isganaitis e. (2017)	"<table><tr><td>Authors:</td><td>isganaitis e.; suehiro h.; cardona c.</td></tr><tr><td>Title:</td><td>who's your daddy?: paternal inheritance of metabolic disease risk</td></tr><tr><td>Source:</td><td>current opinion in endocrinology, diabetes and obesity, 24(1), 47-55</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1097/med.0000000000000307	-0.2737	-0.4121	1	178	60	6	0.8571	2017	6	0.8571
141	kashem m.a. (2017)	"<table><tr><td>Authors:</td><td>kashem m.a.; lee a.; pow d.v.; šerý o.; balcar v.j.</td></tr><tr><td>Title:</td><td>could ethanol-induced alterations in the expression of glutamate transporters in testes contribute to the effect of paternal drinking on the risk of abnormalities in the offspring?</td></tr><tr><td>Source:</td><td>medical hypotheses, 98, 57-59</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1016/j.mehy.2016.11.015	0.5219	0.339	1	35	4	0	0	2017	0	0
142	zuccolo l. (2016)	"<table><tr><td>Authors:</td><td>zuccolo l.; deroo l.a.; wills a.k.; smith g.d.; suren p.; roth c.; stoltenberg c.; magnus p.</td></tr><tr><td>Title:</td><td>pre-conception and prenatal alcohol exposure from mothers and fathers drinking and head circumference: results from the norwegian mother-child study (moba)</td></tr><tr><td>Source:</td><td>scientific reports, 7</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1038/srep39535	0.6973	0.0128	1	51	12	8	0.3814	2016	8	0.3814
143	schagdarsurengin u. (2016)	"<table><tr><td>Authors:</td><td>schagdarsurengin u.; western p.; steger k.; meinhardt a.</td></tr><tr><td>Title:</td><td>developmental origins of male subfertility: role of infection, inflammation, and environmental factors</td></tr><tr><td>Source:</td><td>seminars in immunopathology, 38(6), 765-781</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1007/s00281-016-0576-y	0.2914	-0.1924	1	119	76	8	0.3814	2016	8	0.3814
144	romanus s. (2016)	"<table><tr><td>Authors:</td><td>romanus s.; neven p.; soubry a.</td></tr><tr><td>Title:</td><td>extending the developmental origins of health and disease theory: does paternal diet contribute to breast cancer risk in daughters?</td></tr><tr><td>Source:</td><td>breast cancer research, 18(1)</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1186/s13058-016-0760-y	-0.4587	-0.4824	1	133	17	5	0.2384	2016	5	0.2384
145	levine s.z. (2016)	"<table><tr><td>Authors:</td><td>levine s.z.; levav i.; pugachova i.; yoffe r.; becher y.</td></tr><tr><td>Title:</td><td>transgenerational effects of genocide exposure on the risk and course of schizophrenia: a population-based study</td></tr><tr><td>Source:</td><td>schizophrenia research, 176(2-3), 540-545</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1016/j.schres.2016.06.019	0.1756	-0.6211	1	35	8	1	0.0477	2016	1	0.0477
146	schagdarsurengin u. (2016a)	"<table><tr><td>Authors:</td><td>schagdarsurengin u.; steger k.</td></tr><tr><td>Title:</td><td>epigenetics in male reproduction: effect of paternal diet on sperm quality and offspring health</td></tr><tr><td>Source:</td><td>nature reviews urology, 13(10), 584-595</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1038/nrurol.2016.157	-0.0265	-0.3852	1	191	118	51	2.4312	2016	51	2.4312
147	gapp k. (2016)	"<table><tr><td>Authors:</td><td>gapp k.; bohacek j.; grossmann j.; brunner a.m.; manuella f.; nanni p.; mansuy i.m.</td></tr><tr><td>Title:</td><td>potential of environmental enrichment to prevent transgenerational effects of paternal trauma</td></tr><tr><td>Source:</td><td>neuropsychopharmacology, 41(11), 2749-2758</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1038/npp.2016.87	-0.4932	-0.5712	1	84	13	34	1.6208	2016	34	1.6208
148	bonduriansky r. (2016)	"<table><tr><td>Authors:</td><td>bonduriansky r.; runagall-mcnaull a.; crean a.j.</td></tr><tr><td>Title:</td><td>the nutritional geometry of parental effects: maternal and paternal macronutrient consumption and offspring phenotype in a neriid fly</td></tr><tr><td>Source:</td><td>functional ecology, 30(10), 1675-1686</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1111/1365-2435.12643	-0.7357	0.1203	3	135	54	11	0.5244	2016	11	0.5244
149	hehar h. (2016)	"<table><tr><td>Authors:</td><td>hehar h.; yu k.; ma i.; mychasiuk r.</td></tr><tr><td>Title:</td><td>paternal age and diet: the contributions of a father's experience to susceptibility for post-concussion symptomology</td></tr><tr><td>Source:</td><td>neuroscience, 332, 61-75</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1016/j.neuroscience.2016.06.039	-0.4325	-0.3416	1	146	25	6	0.286	2016	6	0.286
150	chowdhury s.s. (2016)	"<table><tr><td>Authors:</td><td>chowdhury s.s.; lecomte v.; erlich j.h.; maloney c.a.; morris m.j.</td></tr><tr><td>Title:</td><td>paternal high fat diet in rats leads to renal accumulation of lipid and tubular changes in adult offspring</td></tr><tr><td>Source:</td><td>nutrients, 8(9)</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.3390/nu8090521	-0.0922	-0.7683	1	116	9	9	0.429	2016	9	0.429
151	callaghan b.l. (2016)	"<table><tr><td>Authors:</td><td>callaghan b.l.; cowan c.s.m.; richardson r.</td></tr><tr><td>Title:</td><td>treating generational stress: effect of paternal stress on development of memory and extinction in offspring is reversed by probiotic treatment</td></tr><tr><td>Source:</td><td>psychological science, 27(9), 1171-1180</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1177/0956797616653103	-0.6221	-0.2551	1	111	10	20	0.9534	2016	20	0.9534
152	farah naquiah m.z. (2016)	"<table><tr><td>Authors:</td><td>farah naquiah m.z.; james r.j.; suratman s.; lee l.s.; mohd hafidz m.i.; salleh m.z.; teh l.k.</td></tr><tr><td>Title:</td><td>transgenerational effects of paternal heroin addiction on anxiety and aggression behavior in male offspring</td></tr><tr><td>Source:</td><td>behavioral and brain functions, 12(1)</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1186/s12993-016-0107-y	0.3079	0.6011	1	41	13	3	0.143	2016	3	0.143
153	ueker m.e. (2016)	"<table><tr><td>Authors:</td><td>ueker m.e.; silva v.m.; moi g.p.; pignati w.a.; mattos i.e.; silva a.m.c.</td></tr><tr><td>Title:</td><td>parenteral exposure to pesticides and occurence of congenital malformations: hospital-based case-control study</td></tr><tr><td>Source:</td><td>bmc pediatrics, 16(1)</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1186/s12887-016-0667-x	1.4254	-0.4216	2	4	2	3	0.143	2016	3	0.143
155	beemelmanns a. (2016)	"<table><tr><td>Authors:</td><td>beemelmanns a.; roth o.</td></tr><tr><td>Title:</td><td>biparental immune priming in the pipefish syngnathus typhle</td></tr><tr><td>Source:</td><td>zoology, 119(4), 262-272</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1016/j.zool.2016.06.002	-0.6502	0.1748	3	89	46	13	0.6197	2016	13	0.6197
156	cropley j.e. (2016)	"<table><tr><td>Authors:</td><td>cropley j.e.; eaton s.a.; aiken a.; young p.e.; giannoulatou e.; ho j.w.k.; buckland m.e.; keam s.p.; hutvagner g.; humphreys d.t.; langley k.g.; henstridge d.c.; martin d.i.k.; febbraio m.a.; suter c.m.</td></tr><tr><td>Title:</td><td>male-lineage transmission of an acquired metabolic phenotype induced by grand-paternal obesity</td></tr><tr><td>Source:</td><td>molecular metabolism, 5(8), 699-708</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1016/j.molmet.2016.06.008	-0.4929	-0.1422	1	181	42	47	2.2405	2016	47	2.2405
157	fontelles c.c. (2016)	"<table><tr><td>Authors:</td><td>fontelles c.c.; guido l.n.; rosim m.p.; andrade f.o.; jin l.; inchauspe j.; pires v.c.; de castro i.a.; hilakivi-clarke l.; de assis s.; ong t.p.</td></tr><tr><td>Title:</td><td>paternal programming of breast cancer risk in daughters in a rat model: opposing effects of animal- and plant-based high-fat diets</td></tr><tr><td>Source:</td><td>breast cancer research, 18(1)</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1186/s13058-016-0729-x	0.2212	-0.4026	1	136	22	10	0.4767	2016	10	0.4767
158	masuyama h. (2016)	"<table><tr><td>Authors:</td><td>masuyama h.; mitsui t.; eguchi t.; tamada s.; hiramatsu y.</td></tr><tr><td>Title:</td><td>the effects of paternal high-fat diet exposure on offspring metabolism with epigenetic changes in the mouse adiponectin and leptin gene promoters</td></tr><tr><td>Source:</td><td>american journal of physiology - endocrinology and metabolism, 311(1), e236-e245</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1152/ajpendo.00095.2016	0.1137	-0.6594	1	121	21	23	1.0964	2016	23	1.0964
