"","Title.x","Doi.x","Year","Taxon","Species","Social_mating_system","Mating_in_study","Source_of_population","Exposure_stage","Exposure_category","Exposure_factor","Proximate_mechanisms","Maternal_effects","Maternal_effectcs_control","Latest_offspring_stage","Embryo_traits","Just_born_hatched_traits","Larvae_traits","Juveniles_traits","Adult_traits","Trait_list","Grand_offspring_traits","Grand_offspring_stage","Sex_specific_effects","Maternal_exposure","Offspring_exposure","Comments","link","id","label","Title.y","Doi.y","x","y","cluster","weight.Links.","weight.Total.link.strength.","weight.Citations.","weight.Norm..citations.","score.Pub..year.","score.Citations.","score.Norm..citations."
"74","behavioral teratology investigation of 1-butanol in rats","10.1016.0892.0362(89)90074.3",1989,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Alcohol","l-butanol (3000 or 6000 ppm) inhalation for 6 weeks prior to mating","does not assess","unclear","cross-fostering","adults",NA,NA,NA,"behavior","physiology, behavior","ascent on a wire mesh screen, rotorod, open field and photoelectrically-monitored activity, running wheel, avoidance conditioning and operant conditioning in 10-90 day old offsping, nerotransmitters, protein in brains","no",NA,"no","independent","no","no simmultanues asessment of effect of maternal and paternal exposures","10.1016.0892.0362(89)90074.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","neurochemical, but not behavioral, deviations in the offspring of rats following prenatal or paternal inhalation exposure to ethanol","10.1016.0892.0362(88)90062.1",1988,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Alcohol","ethanol vapour exposure at diffrent doese","does not assess","yes – maternal effects","cross-fostering","adults",NA,NA,NA,"behavior","behavior","offspring survivial and weight gain, neuromotor coorcination, activity levels, learning ability,","no",NA,"yes","independent","no","no simultaneus effect of maternal and paternal effect was assessed","10.1016.0892.0362(88)90062.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","paternal and maternal preconception urinary phthalate metabolite concentrations and child behavior","10.1016.j.envres.2017.07.032",2017,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Chemical substance","phthalate exposure confired using metabolites in urine","does not assess","no",NA,"adults",NA,NA,NA,NA,"behavior","behavioral and emotional functioning, specific problem and adaptive behaviors in children 2–21 years of age","no",NA,"yes","independent","no","effects of simultanus exposure of mathers and fathers is not adressed","10.1016.j.envres.2017.07.032",131,"messerlian c. (2017)","paternal and maternal preconception urinary phthalate metabolite concentrations and child behavior","10.1016.j.envres.2017.07.032",0.1968,-0.1322,1,147,22,5,0.7143,2017,5,0.7143
"77","behavioral and neurochemical alterations in the offspring of rats after maternal or paternal inhalation exposure to the industrial solvent 2-methoxyethanol","10.1016.0091.3057(84)90254.5",1984,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","exposoure to industrial solvent 2-methoxyethanol (2ME) as vapor for 6 weeks","does not assess","no",NA,"adults",NA,"physiology, morphology",NA,"morphology, behavior","physiology, morphology, behavior","body weight and malforations, neuromuscular, activity, and learning performance in jouvenile and adult offsppring, neurochemical assays of the brain","no",NA,"yes","independent","no","experiemental design does not allow to simmultaneusly assess effects of exposure of mothers and fathers","10.1016.0091.3057(84)90254.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","parental occupational exposure to hydrocarbons and risk of acute lymphocytic leukemia in offspring","..",1999,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Chemical substance","occupational exposure to hydrocarbons","does not assess","no",NA,"juveniles",NA,NA,NA,"physiology",NA,"risk of acute lymphocytic leukemia (ALL) until the age of 15","no",NA,"no","independent","no","interaction between materal and paternal exposure is not adressed","parental occupational exposure to hydrocarbons and risk of acute lymphocytic leukemia in offspring",399,"shu x.o. (1999)","parental occupational exposure to hydrocarbons and risk of acute lymphocytic leukemia in offspring","",1.1715,0.0113,2,8,11,93,1,1999,93,1
"79","parenteral exposure to pesticides and occurence of congenital malformations: hospital-based case–control study","10.1186.s12887.016.0667.x",2016,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Chemical substance","pesticide exposure 12 months before conception","does not assess","no",NA,"just born / hatched",NA,"morphology",NA,NA,NA,"congenital malformations, birth weight","no",NA,"no","independent","no","interaction between maternal and paternal exposure not assessed","10.1186.s12887.016.0667.x",153,"ueker m.e. (2016)","parenteral exposure to pesticides and occurence of congenital malformations: hospital-based case-control study","10.1186.s12887.016.0667.x",1.4254,-0.4216,2,4,2,3,0.143,2016,3,0.143
"80","parental exposure to pesticides and childhood brain cancer: u.s. atlantic coast childhood brain cancer study","10.1289.ehp.0800209",2009,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Chemical substance","paternal occupational exposure to pesticides during the 2-year period before the child’s birth","does not assess","no",NA,"juveniles",NA,NA,NA,"physiology",NA,"risk of childhood brain cancer","no",NA,"no","independent","no","interaction of maternal and paternal exposure not adressed","10.1289.ehp.0800209",341,"shim y.k. (2009)","parental exposure to pesticides and childhood brain cancer: u.s. atlantic coast childhood brain cancer study","10.1289.ehp.0800209",1.016,-0.3362,2,6,10,44,0.6528,2009,44,0.6528
"81","the possible role of endocrine disrupting chemicals in the aetiology of cryptorchidism and hypospadias: a population-based case–control study in rural sicily","10.1111.j.1365.2605.2006.00703.x",2007,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Chemical substance","occupational exposure to endocrine disruptors (such as pesticides)","does not assess","no",NA,"just born / hatched",NA,"morphology",NA,NA,NA,"hypospadias and cryptorchidism","no",NA,"one sex measured only","independent","no","interaction of maternal and paternal exposure not studied","10.1111.j.1365.2605.2006.00703.x",357,"carbone p. (2007)","the possible role of endocrine disrupting chemicals in the aetiology of cryptorchidism and hypospadias: a population-based case-control study in rural sicily","10.1111.j.1365.2605.2006.00703.x",1.1476,-0.3959,2,7,8,61,2.4597,2007,61,2.4597
"82","preconception maternal and paternal exposure to persistent organic pollutants and birth size: the life study","10.1289.ehp.1308016",2015,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Chemical substance","Parental serum concentrations of 9 organochlorine pesticides, 1 polybrominated biphenyl (PBB), 7 perfluoroalkyl chemicals (PFCs), 10 polybrominated diphenyl ethers (PBDEs), and 36 polychlorinated biphenyls (PCBs)","does not assess","no",NA,"just born / hatched",NA,"morphology",NA,NA,NA,"birth wight, length, head circumference, ponderla index","no",NA,"yes","independent","no","no interaction between parents was studied","10.1289.ehp.1308016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","effects of maternal or paternal bisphenol a exposure on offspring behavior","10.1016.j.yhbeh.2017.09.017",2018,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","nisphenol A administrated daily for 50 days prior to tating","correlative assessment","no",NA,"adults",NA,NA,NA,"behavior","behavior","social recognition, elevated plus maze, operat reversal learning, ultrasonic vocalizations of pups","no",NA,"yes","independent","no","no simultaneus exposure was adressed","10.1016.j.yhbeh.2017.09.017",59,"harris e.p. (2018)","effects of maternal or paternal bisphenol a exposure on offspring behavior","10.1016.j.yhbeh.2017.09.017",-0.1117,-0.6844,1,73,31,6,1.5396,2018,6,1.5396
"84","daily sperm production: application in studies of prenatal exposure to nanoparticles in mice","10.1016.j.reprotox.2012.12.005",2013,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","in utero","Chemical substance","in utero exposure to nanoparticles of titanum dioxide TiO2 or carbon balck CB","correlative assessment","no",NA,"adults",NA,NA,NA,NA,"morphology, fecundity","body and testicles weight at 5 different ages in adulthood, time to first liter, daily sperm production","no",NA,"one sex measured only","independent","no","no simultanues exposure of males and females was assessed","10.1016.j.reprotox.2012.12.005",275,"kyjovska z.o. (2013)","daily sperm production: application in studies of prenatal exposure to nanoparticles in mice","10.1016.j.reprotox.2012.12.005",0.1248,-0.5996,2,26,8,42,0.8596,2013,42,0.8596
"85","parental occupational exposure to organic solvents and testicula rgerm cell tumors in their offspring: nord-test study","10.1289.ehp864",2017,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Chemical substance","paternal occupational exposures to organic solvents","does not assess","no",NA,"adults",NA,NA,NA,NA,"physiology","Testicular germ cell tumors","no",NA,"one sex measured only","independent","no","the study does not adress the interaction between maternal and paternal exposure","10.1289.ehp864",113,"le cornet c. (2017)","parental occupational exposure to organic solvents and testicular germ cell tumors in their offspring: nord-test study","10.1289.ehp864",0.954,-0.3188,2,9,5,3,0.4286,2017,3,0.4286
"86","evaluation of a reproductive toxicity assay using xenopus laevis: boric acid, cadmium and ethylene glycol monomethyl ether","10.1002.jat.731",2001,"other vertebrate","Xenopus laevis","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","different concentrations of cadmium (Cd), boric acid (BA) and ethylene glycol monomethyl ether (EGME)","correlative assessment","no","natural external fertilization","embryos","survival",NA,NA,NA,NA,"embryonic viability","no",NA,"no","independent","no",NA,"10.1002.jat.731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","transgenerational effects of prenatal exposure to the 1944–45 dutch famine","10.1111.1471.0528.12136",2013,"human","Homo sapiens","monogamy","with mate choice","human","in utero","Diet","prenatally undernourished fathers (average daily food ration of the mother during any 13-week period of gestation contained less than 1000 calories)","does not assess","no",NA,"adults",NA,NA,NA,NA,"morphology, other","height, weight, smoking, alcohol consumption, and exercise behaviour; symptoms or a history of cardiovascular, pulmonary, psychiatric, and metabolic disease, and medication use.","no",NA,"no","independent","no",NA,"10.1111.1471.0528.12136",276,"veenendaal m.v.e. (2013)","transgenerational effects of prenatal exposure to the 1944-45 dutch famine","10.1111.1471.0528.12136",-0.1178,-0.4368,1,157,22,169,3.4591,2013,169,3.4591
"88","transgenerational acclimatization in an herbivore–host plant relationship","10.1098.rspb.2012.2856",2013,"arthropod","Coenonympha pamphilus","polygamy – promiscuity","without mate choice","wild brought into captivity","as juvenile","Diet","larval host plant differning in silica content","correlative assessment","no",NA,"adults",NA,"morphology, other",NA,"morphology","morphology","larval hatching mass and fitness: larval duration , pupal mass and forewing length after emergence, performance on two host plants","no",NA,"yes","independent","yes",NA,"10.1098.rspb.2012.2856",282,"cahenzli f. (2013)","transgenerational acclimatization in an herbivore-host plant relationship","10.1098.rspb.2012.2856",-0.7985,0.8407,3,51,21,17,0.348,2013,17,0.348
"89","pregnancy outcomes following maternal and paternal exposure to teriflunomide during treatment for relapsing–remitting multiple sclerosis","10.1007.s40120.014.0020.y",2014,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Drug","teriflunomide based on prescriptions","does not assess","no",NA,"just born / hatched","survival","morphology",NA,NA,NA,"pregnancy outcome including structural or functional abnormalities at birth","no",NA,"no","independent","no","no interaction between the parents was analsyed","10.1007.s40120.014.0020.y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","effects of thymoquinone supplementation on cyclophosphamide toxicity of mouse embryo in vitro","10.5829.idosi.gv.2014.12.01.76185",2014,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Drug","single injection of cyclophosphamide","does not assess","unclear","in-vitro fertilization","embryos","morphology",NA,NA,NA,NA,"early embryonic evelopment in vitro, culture supplemented with thymoquinone","no",NA,"no","independent","no","no simultaneus asessment of maternal and paternal effects","10.5829.idosi.gv.2014.12.01.76185",236,"kamarzaman s. (2014)","effects of thymoquinone supplementation on cyclophosphamide toxicity of mouse embryo in vitro","10.5829.idosi.gv.2014.12.01.76185",1.0999,0.3264,2,3,10,5,0.1334,2014,5,0.1334
"91","behavioral teratology and dominant lethal evaluation of nitrous oxide exposure in rats","10.1016.0892.0362(95)00019.n",1995,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Drug","N,O (O%, 0.1 %, OS%, or 1 .O% in air) for 6 h daily for 9 weeks prior to mating","correlative assessment","no",NA,"adults",NA,"morphology",NA,"morphology, behavior","physiology, morphology, behavior","birth weight and at subsequnt develpmental stages, sex ratio, begavioral tests: negative geotaxis, developmental activity, auditory startle, complex maze, passive aviodane test, amphetamine challenge, barbiturate anesthesia duration.","no",NA,"yes","independent","no","no simultaneus exposure of both sexes was assessed","10.1016.0892.0362(95)00019.n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","international multi-centre study of pregnancy outcomes with interleukin-1 inhibitors","10.1093.rheumatology.kex305",2017,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Drug","paternal exposure to anakinra or canakinumab (interleukin-1 inhibitors) at conception","does not assess","no",NA,"juveniles","morphology",NA,NA,"morphology",NA,"congenital malformations and developmental abnormalities","no",NA,"yes","independent","no","the study does not adress imteraction between maternal and paternal exposure","10.1093.rheumatology.kex305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","analgesic exposure in pregnant rats affects fetal germ cell development with inter-generational reproductive consequences","10.1038.srep19789",2016,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","in utero","Drug","in utero exposure to analgesics (indomethacin or acetaminophen)","does not assess","no",NA,"adults",NA,NA,NA,NA,"morphology, fecundity","body weight, testis weight, penis length, ovarian weight, primordial follicle numbers, anti-müllerian hormone in females","no",NA,"yes","independent","no",NA,"10.1038.srep19789",175,"dean a. (2016)","analgesic exposure in pregnant rats affects fetal germ cell development with inter-generational reproductive consequences","10.1038.srep19789",-0.002,-0.6991,1,41,12,20,0.9534,2016,20,0.9534
"94","the impact of dasatinib on pregnancy outcomes","10.1002.ajh.24186",2015,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Drug; Physiological factor","patients with chronic myeloid leukemia treated with BCR-ABL1-targeted tyrosine kinase inhibitors (dasatinib)","does not assess","no",NA,"just born / hatched",NA,NA,NA,NA,NA,"pregnancy outcome","no",NA,"no","independent","no","does not adress the interaction between maternal and paternal effects","10.1002.ajh.24186",186,"cortes j.e. (2015)","the impact of dasatinib on pregnancy outcomes","10.1002.ajh.24186",1.3406,0.8483,2,2,1,33,1.182,2015,33,1.182
"95","maternal age affects offspring lifespan of the seed beetle, callosobruchus maculatus","10.1111.j.1365.2435.2003.00799.x",2003,"arthropod","Callosobruchus maculatus","polygamy – promiscuity","without mate choice","captive","as adult","Past experience; Age","mating history and age","does not assess","no",NA,"adults","survival",NA,NA,NA,"survival","hatching success, survival to adluthood, time to maturity, adult lifespan","no",NA,"yes","independent","NA",NA,"10.1111.j.1365.2435.2003.00799.x",377,"fox c.w. (2003)","maternal age affects offspring lifespan of the seed beetle, callosobruchus maculatus","10.1111.j.1365.2435.2003.00799.x",-0.1634,0.6405,3,37,26,66,1.4194,2003,66,1.4194
"96","newborns of obese parents have altered dna methylation patterns at imprinted genes","10.1038.ijo.2013.193",2015,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Physiological factor","obese (defined as BMI X30 kg/m2,) vs. non-obese","does not assess","no",NA,"just born / hatched",NA,"gene expression",NA,NA,NA,"DNA methylation","no",NA,"no","independent","no","interaction between mother and father not assessed","10.1038.ijo.2013.193",216,"soubry a. (2015)","newborns of obese parents have altered dna methylation patterns at imprinted genes","10.1038.ijo.2013.193",-0.0856,-0.156,1,148,32,119,4.2623,2015,119,4.2623
"97","differential expression and costs between maternally and paternally derived immune priming for offspring in an insect","10.1111.j.1365.2656.2011.01872.x",2011,"arthropod","Tenebrio molitor","polygamy – promiscuity","without mate choice","captive","as adult","Physiological factor","single injection of a dose of LPS extracted from Escherichia coli immediatly prior to mating","does not assess","no",NA,"adults",NA,NA,"morphology","survival","morphology","immune parameters before and after immunization, survival to adulthood, larval developmental time, pupal mass and adult body size","no",NA,"yes","independent","yes","interactive effects of maternal and paternal effects not adressed","10.1111.j.1365.2656.2011.01872.x",308,"zanchi c. (2011)","differential expression and costs between maternally and paternally derived immune priming for offspring in an insect","10.1111.j.1365.2656.2011.01872.x",-1.2224,0.4594,3,31,19,64,1.9941,2011,64,1.9941
"98","transgenerational effects of plant sex and arbuscular mycorrhizal symbiosis","10.1111.nph.12305",2013,"plant","Geranium sylvaticum","polygamy – promiscuity","without mate choice","wild brought into captivity","as adult","Physiological factor","colonized by arbuscular mycorrhizal (AM) fungi","does not assess","no","artificial insemination","just born / hatched",NA,"morphology, survival",NA,NA,NA,"proportion of seeds that germinated and survived until 2 months, seedling mass","no",NA,"no","independent","no",NA,"10.1111.nph.12305",268,"varga s. (2013)","transgenerational effects of plant sex and arbuscular mycorrhizal symbiosis","10.1111.nph.12305",-1.2686,0.4937,3,26,17,15,0.307,2013,15,0.307
"99","suppression of allergen-specific ige in offspring after preconceptional immunisation: maternal, paternal and genetic influences","10.1111.sji.12017",2012,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Physiological factor","immunization with allergen ovalbumin (OVA) 6 weeks before conception","does not assess","no",NA,"adults",NA,NA,NA,NA,"physiology","antibody levels before and after immunization (OVA specific IgE or IgG1)","no",NA,"yes","independent","yes",NA,"10.1111.sji.12017",278,"nygaard u.c. (2013)","suppression of allergen-specific ige in offspring after preconceptional immunisation: maternal, paternal and genetic influences","10.1111.sji.12017",0.7056,-0.674,1,16,4,3,0.0614,2013,3,0.0614
"100","transgenerational effects of genocide exposure on the risk and course of schizophrenia: a population-based study","10.1016.j.schres.2016.06.019",2016,"human","Homo sapiens","monogamy","with mate choice","human","in utero, as juvenile","Psychological factor","genocide exposures in utero and/or postnatal","does not assess","no",NA,"adults",NA,NA,NA,NA,"behavior","risk of schizophrenia and course of schizophrenia (mean annual psychiatric re-hospitalization rate)","no",NA,"yes","independent","no","maternal and paternal effects tested separatly","10.1016.j.schres.2016.06.019",145,"levine s.z. (2016)","transgenerational effects of genocide exposure on the risk and course of schizophrenia: a population-based study","10.1016.j.schres.2016.06.019",0.1756,-0.6211,1,35,8,1,0.0477,2016,1,0.0477
"101","association of theworldwar ii finnish evacuation of children with psychiatric hospitalization in the next generation","10.1001.jamapsychiatry.2017.3511",2018,"human","Homo sapiens","monogamy","with mate choice","human","as juvenile","Psychological factor","evacuee status during WorldWar II","does not assess","no",NA,"adults",NA,NA,NA,NA,"behavior","mental health problems that required hospitalization","no",NA,"yes","independent","no","maternal effects tested separatly","10.1001.jamapsychiatry.2017.3511",86,"santavirta t. (2018)","association of the world war ii finnish evacuation of children with psychiatric hospitalization in the next generation","10.1001.jamapsychiatry.2017.3511",0.0879,-0.8578,1,6,4,11,2.8226,2018,11,2.8226
"102","paternal early experiences influence infant development through non-social mechanisms in rhesus macaques","10.1186.1742.9994.12.s1.s14",2015,"non-human mammal","Macaca mulatta","polygamy – promiscuity","without mate choice","captive","as juvenile","Psychological factor","rearing conditions: nursery or control","does not assess","no",NA,"juveniles",NA,NA,NA,"physiology, behavior",NA,"immune, physiological (plasma cortisol) and behavioral (emotion regulation) outcomes","no",NA,"no","independent","no","no interaction between paternal and maternal effecst were adressed","10.1186.1742.9994.12.s1.s14",198,"kinnally e.l. (2015)","paternal early experiences influence infant development through non-social mechanisms in rhesus macaques","10.1186.1742.9994.12.s1.s14",-0.6757,-0.1032,1,140,48,11,0.394,2015,11,0.394
"103","parental adverse childhood experiences and offspring development at 2 years of age","10. 1542. peds. 2017. 2826",2018,"human","Homo sapiens","monogamy","with mate choice","human","as juvenile","Psychological factor","adverse childhood experiences","does not assess","no",NA,"juveniles",NA,NA,NA,NA,"behavior","child developmental status at 24 months of age (communication, fine and gross motor skills, personalsocial function, and problem solving)","no",NA,"yes","independent","no",NA,"10. 1542. peds. 2017. 2826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","paternal line effects of early experiences persist across three generations in rhesus macaques","10.1002.dev.21771",2018,"non-human mammal","Macaca mulatta","polygamy – promiscuity","without mate choice","captive","as juvenile","Psychological factor","nersury rearnig versus control rearing","does not assess","no",NA,"juveniles",NA,NA,NA,"physiology, behavior",NA,"behavior (activity, emotionality, novel object interaction, temperament ratings), physiology (plasma cortisol at four time points), and immunity (white blood cell count, CD 4+ and CD 8+ cell counts) measures were collected from infant subjects during separation form mothers","phenotype","juveniles","no","independent","yes",NA,"10.1002.dev.21771",22,"kinnally e.l. (2018)","paternal line effects of early experiences persist across three generations in rhesus macaques","10.1002.dev.21771",-0.6354,-0.2162,1,142,51,0,0,2018,0,0
"105","paternal heat exposure causes dna methylation and gene expression changes of stat3 in wild guinea pig sons","10.1002.ece3.1993",2016,"non-human mammal","Cavia aperea","polygamy – promiscuity","without mate choice","captive","as adult","Abiotic habitat","increased ambient temperature for 2 months","does not assess","no",NA,"adults",NA,NA,NA,"gene expression",NA,"Liver methylation in male offspring","no",NA,"one sex measured only","no","no","control grpup is confounded with mating order","10.1002.ece3.1993",166,"weyrich a. (2016)","paternal heat exposure causes dna methylation and gene expression changes of stat3 in wild guinea pig sons","10.1002.ece3.1993",-0.5885,-0.1746,1,156,29,8,0.3814,2016,8,0.3814
"106","paternal intergenerational epigenetic response to heat exposure in male wild guinea pigs","10.1111.mec.13494",2016,"non-human mammal","Cavia aperea","polygamy – promiscuity","without mate choice","captive","as adult","Abiotic habitat","increased ambient temperature for 2 months","does not assess","no",NA,"adults",NA,NA,NA,NA,"gene expression","gene methylation in liver and tests of sons","no",NA,"one sex measured only","no","no","control grpup is confounded with mating order","10.1111.mec.13494",168,"weyrich a. (2016a)","paternal intergenerational epigenetic response to heat exposure in male wild guinea pigs","10.1111.mec.13494",-0.5059,-0.2957,1,181,32,18,0.8581,2016,18,0.8581
"107","environmental change-dependent inherited epigenetic response","10.3390.genes10010004",2019,"non-human mammal","Cavia aperea","polygamy – promiscuity","without mate choice","captive","as adult","Abiotic habitat","increased temerature, low-protein diet","correlative assessment","no",NA,"adults",NA,NA,NA,NA,"gene expression","methylation changes in the livers of sons","no",NA,"one sex measured only","no","no",NA,"10.3390.genes10010004",17,"weyrich a. (2019)","environmental change-dependent inherited epigenetic response","10.3390.genes10010004",-0.4578,-0.0921,1,162,28,0,0,2019,0,0
"108","congenital anomalies and paternal occupational exposure to shortwave, microwave, infrared, and acoustic radiation","..",1985,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Abiotic habitat","occupational exposure to shortwave, microwave, infrared, and acoustic radiation","does not assess","no",NA,"just born / hatched",NA,"morphology",NA,NA,NA,"congenital abnormalities","no",NA,"no","no","no",NA,"congenital anomalies and paternal occupational exposure to shortwave, microwave, infrared, and acoustic radiation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","effect of long-term administration of zinc after scrotal heating on mice spermatozoa and subsequent offspring quality","10.1111.j.1439.0272.2009.00920.x",2009,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Abiotic habitat","heat exposure of scrotum commined with Zn administration 16 days prior to mating","correlative assessment","no",NA,"just born / hatched",NA,"morphology",NA,NA,NA,"body weight and szie of pups after birth","no",NA,"no","no","no",NA,"10.1111.j.1439.0272.2009.00920.x",339,"ghasemi n. (2009)","effect of long-term administration of zinc after scrotal heating on mice spermatozoa and subsequent offspring quality","10.1111.j.1439.0272.2009.00920.x",0.0982,0.7786,1,7,6,16,0.2374,2009,16,0.2374
"110","effect of paternal heat stress on the development in vitro of preimplantation embryos in the mouse","10.1111.j.1439.0272.2004.00635.x",2004,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Abiotic habitat","Heat exposure (36 C) for 24 hours","correlative assessment","yes – maternal effects","other","embryos","morphology, survival",NA,NA,NA,NA,"embryonic survival and development in vitro","no",NA,"no","no","no",NA,"10.1111.j.1439.0272.2004.00635.x",368,"zhu b. (2004)","effect of paternal heat stress on the development in vitro of preimplantation embryos in the mouse","10.1111.j.1439.0272.2004.00635.x",0.6422,0.7138,1,8,19,27,0.8967,2004,27,0.8967
"111","effects of paternal electromagnetic pulse exposure on the reproductive endocrine function of male offspring: a pilot study","10.1039.c8tx00096d",2018,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Abiotic habitat","exposure to different levels of electromagnetic field (EMF) for 7 days","does not assess","no",NA,"adults",NA,NA,NA,NA,"gene expression, physiology, morphology, behavior","sexual behavior of male offspring, testis morphology, sperm characteristics, testosterone level, GABA and the protein and mRNA expression of the hypothalamic GABAA receptor protein","no",NA,"one sex measured only","no","no",NA,"10.1039.c8tx00096d",76,"yang m.-j. (2018)","effects of paternal electromagnetic pulse exposure on the reproductive endocrine function of male offspring: a pilot study","10.1039.c8tx00096d",0.6631,-0.5787,2,12,11,0,0,2018,0,0
"112","influence of electromagnetic pulse on the offspring sex ratio of male balb/c mice","10.1016.j.etap.2017.06.015",2017,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Abiotic habitat","exposure to electromagnetic fields (EMF) daily for weeks","correlative assessment","no",NA,"embryos","other",NA,NA,NA,NA,"sex ratio","no",NA,"no","no","no",NA,"10.1016.j.etap.2017.06.015",101,"li j.-h. (2017)","influence of electromagnetic pulse on the offspring sex ratio of male balb/c mice","10.1016.j.etap.2017.06.015",1.2316,-0.4811,2,12,17.3333,4,0.5714,2017,4,0.5714
"113","male-mediated f1 effects in mice exposed to bisphenol a, either alone or in combination with x-irradiation","10.1016.j.mrgentox.2015.06.015",2015,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Abiotic habitat","bisphenol A (BPA), either alone or in combination with X-irradiation for 8 weeks","does not assess","no",NA,"adults","morphology, survival","morphology",NA,"morphology, survival","morphology","fetal survival, embryo malformations, embryo size, birth weight, and at subsequent times, mortality, reproductibe organs of male offspring","no",NA,"no","no","no",NA,"10.1016.j.mrgentox.2015.06.015",199,"dobrzyńska m.m. (2015)","male-mediated f1 effects in mice exposed to bisphenol a, either alone or in combination with x-irradiation","10.1016.j.mrgentox.2015.06.015",0.8625,-0.1333,2,18,18,5,0.1791,2015,5,0.1791
"114","paternal occupational exposure to radiofrequency electromagnetic fields and risk of adverse pregnancy outcome","10.1007.s10654.006.9030.0",2006,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Abiotic habitat","occupational exposure to radiofrequency radiation","does not assess","no",NA,"just born / hatched","survival","morphology, survival",NA,NA,NA,"sex ratio, rreterm delivery, birth weight, perinatal death, congenital malformations","no",NA,"no","no","no",NA,"10.1007.s10654.006.9030.0",361,"mjøen g. (2006)","paternal occupational exposure to radiofrequency electromagnetic fields and risk of adverse pregnancy outcome","10.1007.s10654.006.9030.0",1.7302,-0.4732,2,4,5,26,0.437,2006,26,0.437
"115","paternal work in the power industry: effects on children at delivery","10.1097.00043764.199802000.00006",1998,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Abiotic habitat","exposed to electric and magnetic fields exposure to electric and magnetic fields","does not assess","no",NA,"just born / hatched",NA,"morphology, survival, other",NA,"physiology",NA,"birth weight, sex, survival, congenital malformations, and childhood cancer","no",NA,"no","no","no",NA,"10.1097.00043764.199802000.00006",402,"siv törnqvist r.n. (1998)","paternal work in the power industry: effects on children at delivery","10.1097.00043764.199802000.00006",1.5528,0.6602,2,1,1,15,0.6383,1998,15,0.6383
"116","pilot and astronaut offspring: possible g-force effects on human sex ratio","..",1987,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Abiotic habitat","occupatinal exposure to G force","does not assess","no",NA,"just born / hatched",NA,"other",NA,NA,NA,"offspring sex r","no",NA,"no","no","no",NA,"pilot and astronaut offspring: possible g-force effects on human sex ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
